policy,pool,ops,pages,write_frac,logical_reads,logical_writes,phys_reads,phys_writes,page_hits,page_misses,status,fail_reasons
LRU,1,10,3,0.0,10,6,10,3,0,10,pass,
LRU,1,10,3,0.5,10,13,10,9,0,10,pass,
LRU,1,10,3,1.0,10,16,10,12,0,10,pass,
LRU,1,10,10,0.0,10,20,10,10,0,10,pass,
LRU,1,10,10,0.5,10,27,10,16,0,10,pass,
LRU,1,10,10,1.0,10,30,10,19,0,10,pass,
LRU,1,200,3,0.0,200,6,200,3,0,200,pass,
LRU,1,200,3,0.5,200,100,200,96,0,200,pass,
LRU,1,200,3,1.0,200,206,200,202,0,200,pass,
LRU,1,200,10,0.0,200,20,200,10,0,200,pass,
LRU,1,200,10,0.5,200,114,200,103,0,200,pass,
LRU,1,200,10,1.0,200,220,200,209,0,200,pass,
MRU,1,10,3,0.0,10,6,10,3,0,10,pass,
MRU,1,10,3,0.5,10,13,10,9,0,10,pass,
MRU,1,10,3,1.0,10,16,10,12,0,10,pass,
MRU,1,10,10,0.0,10,20,10,10,0,10,pass,
MRU,1,10,10,0.5,10,27,10,16,0,10,pass,
MRU,1,10,10,1.0,10,30,10,19,0,10,pass,
MRU,1,200,3,0.0,200,6,200,3,0,200,pass,
MRU,1,200,3,0.5,200,100,200,96,0,200,pass,
MRU,1,200,3,1.0,200,206,200,202,0,200,pass,
MRU,1,200,10,0.0,200,20,200,10,0,200,pass,
MRU,1,200,10,0.5,200,114,200,103,0,200,pass,
MRU,1,200,10,1.0,200,220,200,209,0,200,pass,
LRU,5,10,3,0.0,10,6,0,0,10,0,pass,
LRU,5,10,3,0.5,10,13,0,0,10,0,pass,
LRU,5,10,3,1.0,10,16,0,0,10,0,pass,
LRU,5,10,10,0.0,10,20,10,10,0,10,pass,
LRU,5,10,10,0.5,10,27,10,14,0,10,pass,
LRU,5,10,10,1.0,10,30,10,15,0,10,pass,
LRU,5,200,3,0.0,200,6,0,0,200,0,pass,
LRU,5,200,3,0.5,200,100,0,0,200,0,pass,
LRU,5,200,3,1.0,200,206,0,0,200,0,pass,
LRU,5,200,10,0.0,200,20,200,10,0,200,pass,
LRU,5,200,10,0.5,200,114,200,102,0,200,pass,
LRU,5,200,10,1.0,200,220,200,205,0,200,pass,
MRU,5,10,3,0.0,10,6,0,0,10,0,pass,
MRU,5,10,3,0.5,10,13,0,0,10,0,pass,
MRU,5,10,3,1.0,10,16,0,0,10,0,pass,
MRU,5,10,10,0.0,10,20,5,6,5,5,pass,
MRU,5,10,10,0.5,10,27,5,8,5,5,pass,
MRU,5,10,10,1.0,10,30,5,10,5,5,pass,
MRU,5,200,3,0.0,200,6,0,0,200,0,pass,
MRU,5,200,3,0.5,200,100,0,0,200,0,pass,
MRU,5,200,3,1.0,200,206,0,0,200,0,pass,
MRU,5,200,10,0.0,200,20,110,10,90,110,pass,
MRU,5,200,10,0.5,200,114,110,67,90,110,pass,
MRU,5,200,10,1.0,200,220,110,115,90,110,pass,
